timestamp,Open,High,Low,Close,Volume
2018-05-10,1182.0,1496.0,1000.0,1063.4,2.64180963
2018-05-11,1399.9,1399.9,979.0,984.2,2.57826614
2018-05-12,955.7,1094.9,905.2,939.9,0.81105305
2018-05-13,939.9,976.32,939.9,950.38,4.8377596700000005
2018-05-14,959.9,972.99,923.21,972.99,2.2920238
2018-05-15,954.65,956.19,925.93,925.93,0.43230227
2018-05-16,920.6,920.6,875.61,875.61,0.62896582
2018-05-17,879.36,951.49,879.36,896.04,0.9724636999999999
2018-05-18,,,,,0.0
2018-05-19,872.92,951.3,872.91,914.2,2.67063205
2018-05-20,905.9,953.79,883.1,925.0,19.99286168
2018-05-21,935.4,941.45,896.99,899.63,2.3586
2018-05-22,934.09,934.09,883.0,883.0,1.146069
2018-05-23,878.69,878.69,528.3,775.67,7.5674031
2018-05-24,752.93,755.42,733.2,755.42,52.791025000000005
2018-05-25,773.35,794.57,756.41,794.57,2.05
2018-05-26,797.56,806.99,786.12,786.12,0.8801619999999999
2018-05-27,753.51,753.51,752.81,752.81,1.051477
2018-05-28,734.9,734.9,704.04,717.55,4.0128484
2018-05-29,692.11,768.38,692.11,764.7,11.165668620000002
2018-05-30,755.5,765.07,732.93,732.93,2.23688667
2018-05-31,766.57,766.57,766.57,766.57,0.02
2018-06-01,772.0,781.99,754.83,754.83,4.7244141
2018-06-02,775.5,793.65,775.5,793.65,4.116
2018-06-03,801.59,819.08,785.4,793.42,1.06087921
2018-06-04,785.49,785.49,779.32,779.33,0.412053
2018-06-05,794.57,808.88,777.64,793.85,2.53991309
2018-06-06,817.38,855.79,817.38,817.38,0.77964253
2018-06-07,823.49,823.49,823.48,823.48,0.225
2018-06-08,796.7,812.52,628.34,784.1,0.65648036
2018-06-09,785.81,785.81,768.31,783.91,0.67721584
2018-06-10,768.5,785.09,687.0,687.0,0.6339512799999999
2018-06-11,697.0,697.0,664.95,674.0,15.999251849999998
2018-06-12,696.97,696.97,607.1,662.49,9.370851179999999
2018-06-13,637.77,637.77,600.0,607.05,7.5181367
2018-06-14,600.0,624.06,561.41,624.06,1.9466387299999999
2018-06-15,596.2,649.99,562.02,564.53,9.078794000000002
2018-06-16,601.12,601.12,541.25,564.25,0.7142780000000001
2018-06-17,564.0,575.66,546.0,546.0,1.79213217
2018-06-18,545.71,644.94,451.03,502.65,8.188002699999998
2018-06-19,604.4,604.4,604.4,604.4,0.02
2018-06-20,610.1,610.1,610.1,610.1,0.2
2018-06-21,600.08,624.92,578.56,624.92,0.10570844
2018-06-22,572.83,572.83,500.32,524.3,7.11865979
2018-06-23,502.01,502.01,502.01,502.01,0.04561702
2018-06-24,563.11,576.04,562.89,576.04,2.0
2018-06-25,536.92,536.92,466.23,531.71,1.561
2018-06-26,501.51,501.51,475.96,475.96,8.428724050000001
2018-06-27,489.64,489.64,489.64,489.64,0.044
2018-06-28,,,,,0.0
2018-06-29,477.57,477.57,477.57,477.57,2.46381301
2018-06-30,540.0,540.0,530.0,536.22,24.1
2018-07-01,597.7,597.7,597.7,597.7,0.03302686
2018-07-02,597.7,598.04,494.08,577.01,5.739053220000001
2018-07-03,567.7,604.68,543.84,604.68,0.17569185
2018-07-04,557.1,667.63,557.1,563.98,0.24303956000000002
2018-07-05,563.0,563.0,541.81,542.76,0.5
2018-07-06,540.34,564.6,540.34,543.25,0.24292
2018-07-07,,,,,0.0
2018-07-08,575.01,575.01,575.01,575.01,0.6
2018-07-09,573.93,573.93,573.93,573.93,0.24985
2018-07-10,587.62,587.62,551.07,551.07,6.28525348
2018-07-11,553.36,553.36,553.36,553.36,0.0399399999999999
2018-07-12,552.67,571.4,538.91,543.0,43.788065450000005
2018-07-13,567.0,617.36,542.3,546.3,2.82
2018-07-14,,,,,0.0
2018-07-15,553.3,593.6,553.3,593.6,0.22226194
2018-07-16,593.6,600.0,575.11,600.0,17.13434286
2018-07-17,600.0,650.2,592.33,640.17,33.8421548
2018-07-18,660.14,680.21,621.5,625.53,8.10396862
2018-07-19,612.1,616.96,599.77,616.96,1.74703073
2018-07-20,609.9,609.9,599.86,599.86,1.1384953400000002
2018-07-21,602.7,604.8,601.7,604.8,0.119
2018-07-22,604.5,605.53,604.5,605.52,0.36717865000000005
2018-07-23,603.4,609.92,549.8,549.8,7.38629922
2018-07-24,628.97,628.98,628.97,628.97,1.19176771
2018-07-25,653.42,653.42,620.0,620.0,5.0
2018-07-26,,,,,0.0
2018-07-27,585.39,585.39,561.71,561.71,1.04171
2018-07-28,671.0,671.0,671.0,671.0,0.02
2018-07-29,668.0,669.0,668.0,668.0,0.05361297
2018-07-30,667.0,672.04,560.57,648.7,7.4997689
2018-07-31,630.2,630.2,561.21,610.0,19.70936247
2018-08-01,610.05,655.96,560.01,560.4,0.41009999999999996
2018-08-02,585.44,672.2,584.28,643.32,5.4919516999999995
2018-08-03,583.72,603.97,560.0,603.97,1.79432848
2018-08-04,561.71,569.92,530.5,545.2,10.578092210000001
2018-08-05,,,,,0.0
2018-08-06,545.96,552.84,538.53,538.53,0.36619068
2018-08-07,534.89,534.89,527.04,527.04,0.42908126
2018-08-08,509.5,509.5,505.0,505.0,1.023069
2018-08-09,508.6,525.7,508.6,525.7,0.6312745599999999
2018-08-10,525.62,544.23,485.23,543.0,5.65766253
2018-08-11,485.23,485.23,457.1,458.0,6.36455955
2018-08-12,477.9,487.4,477.9,487.4,0.5422203
2018-08-13,570.75,570.75,413.47,413.47,0.1398599999999999
2018-08-14,403.21,403.21,356.6,389.18,0.9773837999999999
2018-08-15,439.9,595.0,379.99,400.0,123.52273865999997
2018-08-16,417.53,480.0,359.9,414.5,183.3964314699999
2018-08-17,424.52,440.0,410.99,440.0,140.83960818
2018-08-18,436.77,440.0,412.3,426.67,14.126125609999999
2018-08-19,438.12,480.0,384.62,439.0,81.4084689
2018-08-20,448.94,448.94,376.43,376.43,13.107734
2018-08-21,424.08,433.69,421.77,425.99,4.6543091
2018-08-22,419.16,419.16,378.97,382.9,29.68875678
2018-08-23,417.87,419.0,380.41,419.0,0.7691658000000001
2018-08-24,404.57,419.0,404.0,413.99,1.6263494499999998
2018-08-25,419.0,438.45,419.0,430.0,26.923586300000053
