timestamp,Open,High,Low,Close,Volume
2018-01-01,225.33,237.77,212.74,224.108,478920.04507086
2018-01-02,223.74,265.0,222.62,251.226,1180048.43022716
2018-01-03,251.22,261.49,233.56,243.0,838133.33060084
2018-01-04,243.026,246.92,219.38,237.514,1067253.13464459
2018-01-05,237.534,260.0,230.0,243.052,1025174.06848701
2018-01-06,243.19,315.0,238.73,278.442,1613712.61505452
2018-01-07,278.1775,289.0,252.4,270.8275,736356.2769354
2018-01-08,270.9875,274.0,212.74,253.952,1094918.89598495
2018-01-09,253.6,290.0,228.24,245.806,804534.77380524
2018-01-10,245.53000000000003,254.97,225.05,249.37,869643.17342784
2018-01-11,249.376,254.0,195.03,225.904,1139425.3106084731
2018-01-12,225.644,242.0,213.01,234.624,702394.1913196684
2018-01-13,234.626,266.65,230.7,258.718,812002.5699631417
2018-01-14,258.6116666666667,280.0,222.0,236.29666666666665,929542.068843009
2018-01-15,236.475,247.48,227.6,231.158,558880.068778486
2018-01-16,231.15833333333333,242.0,135.67,183.858,2572844.863704544
2018-01-17,183.824,216.0,135.0,186.08166666666668,2847549.5015818113
2018-01-18,186.1483333333333,211.0,170.5,189.94166666666663,1603018.1697530502
2018-01-19,189.83166666666668,203.92,176.04,192.56500000000003,859790.100939201
2018-01-20,192.835,216.6,190.67,210.69333333333336,726578.4074940924
2018-01-21,210.3375,211.65,180.0,190.52166666666668,691543.02974703
2018-01-22,190.6133333333333,196.0,163.44,179.236,881346.665456647
2018-01-23,179.27333333333337,187.39,161.17,177.334,733401.5251135513
2018-01-24,177.56,186.3,170.0,180.64666666666668,537083.7133582977
2018-01-25,180.67,186.77,174.84,179.15,475638.8722379835
2018-01-26,179.10333333333335,183.23,164.49,175.72333333333333,545438.0021870628
2018-01-27,175.79333333333335,185.89,172.5,181.32800000000003,413680.3838665852
2018-01-28,181.296,198.0,178.65,194.31500000000003,482057.7630456882
2018-01-29,194.29833333333332,197.32,175.56,181.135,435938.7587417171
2018-01-30,180.76166666666663,182.08,157.65,165.384,778192.3995515866
2018-01-31,165.77,169.31,154.88,163.89,628942.6529020205
2018-02-01,163.86800000000005,167.58,125.0,142.546,1280009.0561691092
2018-02-02,142.235,147.0,100.2,131.536,2188822.0190150347
2018-02-03,131.532,166.99,117.97,160.64,1622396.1345938381
2018-02-04,160.88333333333338,175.0,135.03,147.48000000000005,2529025.3618832175
2018-02-05,147.63,154.9,112.0,125.14,2698072.725022175
2018-02-06,124.97666666666665,148.87,103.02,141.83666666666667,3501060.24222275
2018-02-07,141.71833333333333,160.03,129.94,137.73,1973473.863339395
2018-02-08,137.795,151.88,136.01,149.66,955785.3029742364
2018-02-09,149.5075,164.96,141.41,163.93333333333334,1019012.5334084426
2018-02-10,163.8783333333334,169.72,146.01,154.80599999999995,1249902.3756572998
2018-02-11,154.91800000000003,156.1,139.0,148.81799999999996,732104.4976351225
2018-02-12,148.89166666666662,165.34,146.04,161.4625,751484.5986580844
2018-02-13,161.43400000000003,162.95,151.31,159.238,472574.782929056
2018-02-14,159.21800000000005,220.79,158.91,212.155,3583946.4442672753
2018-02-15,212.13166666666663,237.72,206.25,221.00833333333333,2874421.411434213
2018-02-16,221.15166666666667,236.9,208.56,228.3516666666667,1687780.6513956583
2018-02-17,228.355,234.0,222.96,229.264,726166.7120368233
2018-02-18,229.165,232.75,210.93,214.118,1032722.4285672858
2018-02-19,213.8175,227.96,196.0,221.92,746152.7173038094
2018-02-20,221.764,254.8,221.0,228.9033333333333,2333077.826921476
2018-02-21,228.735,233.53,203.12,209.99666666666667,1987312.2311294663
2018-02-22,209.99666666666667,222.59,187.98,192.85333333333327,1733837.6569160135
2018-02-23,192.785,216.28,181.69,206.5275,1708426.3232120783
2018-02-24,206.4875,219.0,192.3,206.4125,1335470.5297677969
2018-02-25,206.3925,223.62,198.8,218.2383333333333,1272270.007882123
2018-02-26,218.43500000000003,262.0,214.11,218.6383333333333,1689205.9239997573
2018-02-27,218.56333333333333,224.36,211.24,214.9183333333333,989181.6420108444
2018-02-28,215.1016666666667,223.99,201.03,202.005,942169.7364184326
2018-03-01,202.0025,215.65,200.01,209.232,698863.7370579159
2018-03-02,209.34500000000003,214.47,203.43,212.685,536092.6184590021
2018-03-03,212.83,218.98,207.98,210.142,706564.5351539484
2018-03-04,210.154,215.42,203.69,213.26000000000005,454634.9969132217
2018-03-05,213.43000000000004,217.0,208.17,210.388,455365.8851646429
2018-03-06,210.324,210.82,191.2,196.266,878422.3444580417
2018-03-07,196.354,199.75,173.08,185.47666666666663,1351066.0801668444
2018-03-08,185.67,189.0,172.98,175.44666666666663,924081.6479795404
2018-03-09,175.505,190.0,157.27,186.0583333333333,1837586.6056405338
2018-03-10,186.07666666666668,195.2,174.31,177.06400000000002,945913.1633520657
2018-03-11,177.01999999999995,194.0,169.85,188.238,988215.821627732
2018-03-12,188.14,193.37,173.32,177.702,841947.4354840189
2018-03-13,177.6783333333333,182.9,170.36,175.42499999999995,746515.7083651325
